2021-07-27 09:22:08,547 - [main] INFO       | com.ly.p7.Poseidon.controller.UserController                 |  ---> Launch addlUser (UserService.java:99)
2021-07-27 10:06:29,797 - [main] INFO       | com.ly.p7.Poseidon.controller.UserController                 |  ---> Launch getAllUser (UserService.java:43)
2021-07-27 10:06:29,801 - [main] INFO       | com.ly.p7.Poseidon.controller.UserController                 |  ---> getUserById (UserService.java:115)
2021-07-27 10:06:29,804 - [main] INFO       | com.ly.p7.Poseidon.controller.UserController                 |  ---> Launch addlUser (UserService.java:99)
2021-07-27 10:06:29,807 - [main] INFO       | com.ly.p7.Poseidon.controller.UserController                 |  ---> Launch updateUser (UserService.java:79)
2021-07-27 10:06:29,871 - [main] INFO       | com.ly.p7.Poseidon.controller.UserController                 |  ---> getUserById (UserService.java:115)
2021-07-27 10:06:29,871 - [main] ERROR      | com.ly.p7.Poseidon.exceptions.DataNotFoundException          |   **--> user with id=0 not found in DataBase (DataNotFoundException.java:17)
2021-07-27 10:06:29,873 - [main] INFO       | com.ly.p7.Poseidon.controller.UserController                 |  ---> Launch addlUser (UserService.java:99)
2021-07-27 10:06:29,873 - [main] ERROR      | com.ly.p7.Poseidon.exceptions.DataNotFoundException          |   **--> user with id=2 not found in DataBase (DataNotFoundException.java:17)
2021-07-27 10:06:29,875 - [main] INFO       | com.ly.p7.Poseidon.tool.DtoBuilder                           |  ---> Launch buildUser (ModelBuilder.java:29)
2021-07-27 10:42:00,589 - [background-preinit] INFO       | org.hibernate.validator.internal.util.Version                | HV000001: Hibernate Validator 6.1.6.Final (Version.java:21)
2021-07-27 10:50:09,039 - [background-preinit] INFO       | org.hibernate.validator.internal.util.Version                | HV000001: Hibernate Validator 6.1.6.Final (Version.java:21)
2021-07-27 10:52:23,032 - [background-preinit] INFO       | org.hibernate.validator.internal.util.Version                | HV000001: Hibernate Validator 6.1.6.Final (Version.java:21)
2021-07-27 10:55:04,768 - [background-preinit] INFO       | org.hibernate.validator.internal.util.Version                | HV000001: Hibernate Validator 6.1.6.Final (Version.java:21)
2021-07-27 10:56:39,317 - [background-preinit] INFO       | org.hibernate.validator.internal.util.Version                | HV000001: Hibernate Validator 6.1.6.Final (Version.java:21)
2021-07-27 10:59:44,268 - [background-preinit] INFO       | org.hibernate.validator.internal.util.Version                | HV000001: Hibernate Validator 6.1.6.Final (Version.java:21)
2021-07-27 10:59:45,541 - [main] INFO       | org.hibernate.jpa.internal.util.LogHelper                    | HHH000204: Processing PersistenceUnitInfo [name: default] (LogHelper.java:31)
2021-07-27 10:59:45,592 - [main] INFO       | org.hibernate.Version                                        | HHH000412: Hibernate ORM core version 5.4.32.Final (Version.java:44)
2021-07-27 10:59:45,699 - [main] INFO       | org.hibernate.annotations.common.Version                     | HCANN000001: Hibernate Commons Annotations {5.1.2.Final} (JavaReflectionManager.java:56)
2021-07-27 10:59:46,056 - [main] INFO       | org.hibernate.dialect.Dialect                                | HHH000400: Using dialect: org.hibernate.dialect.MySQL5Dialect (Dialect.java:175)
2021-07-27 10:59:46,622 - [main] INFO       | org.hibernate.engine.transaction.jta.platform.internal.JtaPlatformInitiator | HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform] (JtaPlatformInitiator.java:52)
2021-07-27 11:00:06,889 - [http-nio-8080-exec-2] INFO       | com.ly.p7.Poseidon.controller.UserController                 | --> Launch /user/list (UserController.java:39)
2021-07-27 11:00:06,889 - [http-nio-8080-exec-2] INFO       | com.ly.p7.Poseidon.controller.UserController                 |  ---> Launch getAllUser (UserService.java:43)
2021-07-27 11:00:07,046 - [http-nio-8080-exec-2] INFO       | com.ly.p7.Poseidon.controller.UserController                 |  --->   user/list - OK - (UserController.java:41)
2021-07-27 11:00:13,984 - [http-nio-8080-exec-3] INFO       | com.ly.p7.Poseidon.controller.UserController                 | --> Launch /user/add (UserController.java:47)
2021-07-27 11:00:20,121 - [http-nio-8080-exec-4] INFO       | com.ly.p7.Poseidon.controller.UserController                 | --> Launch /user/list (UserController.java:39)
2021-07-27 11:00:20,122 - [http-nio-8080-exec-4] INFO       | com.ly.p7.Poseidon.controller.UserController                 |  ---> Launch getAllUser (UserService.java:43)
2021-07-27 11:00:20,125 - [http-nio-8080-exec-4] INFO       | com.ly.p7.Poseidon.controller.UserController                 |  --->   user/list - OK - (UserController.java:41)
2021-07-27 11:07:28,431 - [background-preinit] INFO       | org.hibernate.validator.internal.util.Version                | HV000001: Hibernate Validator 6.1.6.Final (Version.java:21)
2021-07-27 11:11:50,440 - [background-preinit] INFO       | org.hibernate.validator.internal.util.Version                | HV000001: Hibernate Validator 6.1.6.Final (Version.java:21)
2021-07-27 11:13:37,860 - [background-preinit] INFO       | org.hibernate.validator.internal.util.Version                | HV000001: Hibernate Validator 6.1.6.Final (Version.java:21)
2021-07-27 11:13:39,920 - [main] INFO       | com.ly.p7.Poseidon.controller.UserController                 | --> Launch /user/list (UserController.java:39)
2021-07-27 11:13:39,930 - [main] INFO       | com.ly.p7.Poseidon.controller.UserController                 |  --->   user/list - OK - (UserController.java:41)
2021-07-27 11:14:13,702 - [background-preinit] INFO       | org.hibernate.validator.internal.util.Version                | HV000001: Hibernate Validator 6.1.6.Final (Version.java:21)
2021-07-27 11:14:15,829 - [main] INFO       | com.ly.p7.Poseidon.controller.UserController                 | --> Launch /user/list (UserController.java:39)
2021-07-27 11:14:15,831 - [main] INFO       | com.ly.p7.Poseidon.controller.UserController                 |  --->   user/list - OK - (UserController.java:41)
2021-07-27 11:17:11,623 - [background-preinit] INFO       | org.hibernate.validator.internal.util.Version                | HV000001: Hibernate Validator 6.1.6.Final (Version.java:21)
2021-07-27 11:17:13,747 - [main] INFO       | com.ly.p7.Poseidon.controller.UserController                 | --> Launch /user/list (UserController.java:39)
2021-07-27 11:17:13,749 - [main] INFO       | com.ly.p7.Poseidon.controller.UserController                 |  --->   user/list - OK - (UserController.java:41)
2021-07-27 11:17:20,264 - [background-preinit] INFO       | org.hibernate.validator.internal.util.Version                | HV000001: Hibernate Validator 6.1.6.Final (Version.java:21)
2021-07-27 11:17:21,206 - [main] INFO       | org.hibernate.jpa.internal.util.LogHelper                    | HHH000204: Processing PersistenceUnitInfo [name: default] (LogHelper.java:31)
2021-07-27 11:17:21,268 - [main] INFO       | org.hibernate.Version                                        | HHH000412: Hibernate ORM core version 5.4.32.Final (Version.java:44)
2021-07-27 11:17:21,407 - [main] INFO       | org.hibernate.annotations.common.Version                     | HCANN000001: Hibernate Commons Annotations {5.1.2.Final} (JavaReflectionManager.java:56)
2021-07-27 11:17:21,903 - [main] INFO       | org.hibernate.dialect.Dialect                                | HHH000400: Using dialect: org.hibernate.dialect.MySQL5Dialect (Dialect.java:175)
2021-07-27 11:17:22,545 - [main] INFO       | org.hibernate.engine.transaction.jta.platform.internal.JtaPlatformInitiator | HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform] (JtaPlatformInitiator.java:52)
2021-07-27 11:17:24,469 - [main] INFO       | com.ly.p7.Poseidon.controller.UserController                 |  ---> Launch addlUser (UserService.java:61)
2021-07-27 11:17:24,530 - [main] INFO       | com.ly.p7.Poseidon.controller.UserController                 |  ---> Launch addlUser :fullNameFour -- userNameFour -- $2a$10$MYwlP.9pWfrCPKzw56M1yOI9V1bj0D059bKWGNOC7aHVdJFlnl7Fe -- ADMIN --  (UserService.java:65)
2021-07-27 11:17:24,589 - [main] INFO       | com.ly.p7.Poseidon.controller.UserController                 |  ---> Launch updateUser (UserService.java:79)
2021-07-27 11:17:24,590 - [main] ERROR      | com.ly.p7.Poseidon.exceptions.DataNotFoundException          |   **--> user with id=4 not found in DataBase (DataNotFoundException.java:17)
2021-07-27 11:17:24,591 - [main] INFO       | com.ly.p7.Poseidon.controller.UserController                 |  ---> Launch getAllUser (UserService.java:43)
2021-07-27 11:17:24,596 - [main] INFO       | com.ly.p7.Poseidon.controller.UserController                 |  ---> getUserById (UserService.java:115)
2021-07-27 11:17:24,599 - [main] INFO       | com.ly.p7.Poseidon.controller.UserController                 |  ---> Launch addlUser (UserService.java:99)
2021-07-27 11:17:24,601 - [main] INFO       | com.ly.p7.Poseidon.controller.UserController                 |  ---> Launch updateUser (UserService.java:79)
2021-07-27 11:17:24,665 - [main] INFO       | com.ly.p7.Poseidon.controller.UserController                 |  ---> getUserById (UserService.java:115)
2021-07-27 11:17:24,665 - [main] ERROR      | com.ly.p7.Poseidon.exceptions.DataNotFoundException          |   **--> user with id=0 not found in DataBase (DataNotFoundException.java:17)
2021-07-27 11:17:24,667 - [main] INFO       | com.ly.p7.Poseidon.controller.UserController                 |  ---> Launch addlUser (UserService.java:99)
2021-07-27 11:17:24,667 - [main] ERROR      | com.ly.p7.Poseidon.exceptions.DataNotFoundException          |   **--> user with id=2 not found in DataBase (DataNotFoundException.java:17)
2021-07-27 11:17:24,669 - [main] INFO       | com.ly.p7.Poseidon.tool.DtoBuilder                           |  ---> Launch buildUser (ModelBuilder.java:29)
2021-07-27 11:17:25,489 - [main] INFO       | com.ly.p7.Poseidon.controller.UserController                 | --> Launch /user/list (UserController.java:39)
2021-07-27 11:17:25,490 - [main] INFO       | com.ly.p7.Poseidon.controller.UserController                 |  --->   user/list - OK - (UserController.java:41)
2021-07-27 11:20:19,350 - [background-preinit] INFO       | org.hibernate.validator.internal.util.Version                | HV000001: Hibernate Validator 6.1.6.Final (Version.java:21)
2021-07-27 11:20:49,877 - [background-preinit] INFO       | org.hibernate.validator.internal.util.Version                | HV000001: Hibernate Validator 6.1.6.Final (Version.java:21)
2021-07-27 11:20:51,930 - [main] INFO       | com.ly.p7.Poseidon.controller.UserController                 | --> Launch /user/update/{id} with id = 1 (UserController.java:65)
2021-07-27 11:23:17,384 - [background-preinit] INFO       | org.hibernate.validator.internal.util.Version                | HV000001: Hibernate Validator 6.1.6.Final (Version.java:21)
2021-07-27 11:23:19,480 - [main] INFO       | com.ly.p7.Poseidon.controller.UserController                 | --> Launch /user/update/{id} with id = 1 (UserController.java:65)
2021-07-27 11:26:50,047 - [background-preinit] INFO       | org.hibernate.validator.internal.util.Version                | HV000001: Hibernate Validator 6.1.6.Final (Version.java:21)
2021-07-27 11:26:52,104 - [main] INFO       | com.ly.p7.Poseidon.controller.UserController                 | --> Launch /user/add (UserController.java:47)
2021-07-27 11:29:50,665 - [background-preinit] INFO       | org.hibernate.validator.internal.util.Version                | HV000001: Hibernate Validator 6.1.6.Final (Version.java:21)
2021-07-27 11:35:03,030 - [background-preinit] INFO       | org.hibernate.validator.internal.util.Version                | HV000001: Hibernate Validator 6.1.6.Final (Version.java:21)
2021-07-27 11:35:05,067 - [main] INFO       | com.ly.p7.Poseidon.controller.UserController                 | --> Launch /user/update/{id} with id = 1 (UserController.java:65)
2021-07-27 11:35:32,664 - [background-preinit] INFO       | org.hibernate.validator.internal.util.Version                | HV000001: Hibernate Validator 6.1.6.Final (Version.java:21)
2021-07-27 11:35:34,809 - [main] INFO       | com.ly.p7.Poseidon.controller.UserController                 | --> Launch /user/update/{id} + id: 1 (UserController.java:74)
2021-07-27 11:35:34,810 - [main] INFO       | com.ly.p7.Poseidon.controller.UserController                 | --> Launch /user/update/{id} + userDTO.getId: 1 (UserController.java:75)
2021-07-27 11:35:48,645 - [background-preinit] INFO       | org.hibernate.validator.internal.util.Version                | HV000001: Hibernate Validator 6.1.6.Final (Version.java:21)
2021-07-27 11:35:50,697 - [main] INFO       | com.ly.p7.Poseidon.controller.UserController                 | --> Launch /user/update/{id} with id = 1 (UserController.java:65)
2021-07-27 11:39:43,250 - [background-preinit] INFO       | org.hibernate.validator.internal.util.Version                | HV000001: Hibernate Validator 6.1.6.Final (Version.java:21)
2021-07-27 11:43:48,904 - [background-preinit] INFO       | org.hibernate.validator.internal.util.Version                | HV000001: Hibernate Validator 6.1.6.Final (Version.java:21)
2021-07-27 11:43:51,046 - [main] INFO       | com.ly.p7.Poseidon.controller.UserController                 | --> Launch /user/validate (UserController.java:53)
2021-07-27 11:44:28,741 - [background-preinit] INFO       | org.hibernate.validator.internal.util.Version                | HV000001: Hibernate Validator 6.1.6.Final (Version.java:21)
2021-07-27 11:44:30,824 - [main] INFO       | com.ly.p7.Poseidon.controller.UserController                 | --> Launch /user/validate (UserController.java:53)
2021-07-27 11:44:54,414 - [background-preinit] INFO       | org.hibernate.validator.internal.util.Version                | HV000001: Hibernate Validator 6.1.6.Final (Version.java:21)
2021-07-27 11:44:56,532 - [main] INFO       | com.ly.p7.Poseidon.controller.UserController                 | --> Launch /user/validate (UserController.java:53)
2021-07-27 11:46:50,079 - [background-preinit] INFO       | org.hibernate.validator.internal.util.Version                | HV000001: Hibernate Validator 6.1.6.Final (Version.java:21)
2021-07-27 11:46:52,188 - [main] INFO       | com.ly.p7.Poseidon.controller.UserController                 | --> Launch /user/validate (UserController.java:53)
2021-07-27 11:50:22,907 - [background-preinit] INFO       | org.hibernate.validator.internal.util.Version                | HV000001: Hibernate Validator 6.1.6.Final (Version.java:21)
2021-07-27 11:50:25,030 - [main] INFO       | com.ly.p7.Poseidon.controller.UserController                 | --> Launch /user/list (UserController.java:39)
2021-07-27 11:50:25,033 - [main] INFO       | com.ly.p7.Poseidon.controller.UserController                 |  --->   user/list - OK - (UserController.java:41)
2021-07-27 11:50:25,327 - [main] INFO       | com.ly.p7.Poseidon.controller.UserController                 | --> Launch /user/add (UserController.java:47)
2021-07-27 11:50:25,374 - [main] INFO       | com.ly.p7.Poseidon.controller.UserController                 | --> Launch /user/update/{id} with id = 1 (UserController.java:65)
2021-07-27 11:50:25,463 - [main] INFO       | com.ly.p7.Poseidon.controller.UserController                 | --> Launch /user/validate (UserController.java:53)
2021-07-27 11:50:25,474 - [main] INFO       | com.ly.p7.Poseidon.controller.UserController                 | --> Launch /user/update/{id} + id: 1 (UserController.java:74)
2021-07-27 11:50:25,474 - [main] INFO       | com.ly.p7.Poseidon.controller.UserController                 | --> Launch /user/update/{id} + userDTO.getId: 1 (UserController.java:75)
2021-07-27 11:57:20,046 - [background-preinit] INFO       | org.hibernate.validator.internal.util.Version                | HV000001: Hibernate Validator 6.1.6.Final (Version.java:21)
2021-07-27 11:57:22,111 - [main] INFO       | com.ly.p7.Poseidon.controller.UserController                 | --> Launch /user/list (UserController.java:39)
2021-07-27 11:57:22,114 - [main] INFO       | com.ly.p7.Poseidon.controller.UserController                 |  --->   user/list - OK - (UserController.java:41)
2021-07-27 11:57:22,403 - [main] INFO       | com.ly.p7.Poseidon.controller.UserController                 | --> Launch /user/add (UserController.java:47)
2021-07-27 11:57:22,444 - [main] INFO       | com.ly.p7.Poseidon.controller.UserController                 | --> Launch /user/update/{id} with id = 1 (UserController.java:65)
2021-07-27 11:57:22,519 - [main] INFO       | com.ly.p7.Poseidon.controller.UserController                 | --> Launch /user/validate (UserController.java:53)
2021-07-27 11:57:22,530 - [main] INFO       | com.ly.p7.Poseidon.controller.UserController                 | --> Launch /user/update/{id} + id: 1 (UserController.java:74)
2021-07-27 11:57:22,531 - [main] INFO       | com.ly.p7.Poseidon.controller.UserController                 | --> Launch /user/update/{id} + userDTO.getId: 1 (UserController.java:75)
2021-07-27 11:57:44,231 - [background-preinit] INFO       | org.hibernate.validator.internal.util.Version                | HV000001: Hibernate Validator 6.1.6.Final (Version.java:21)
2021-07-27 11:57:46,300 - [main] INFO       | com.ly.p7.Poseidon.controller.UserController                 | --> Launch /user/list (UserController.java:39)
2021-07-27 11:57:46,303 - [main] INFO       | com.ly.p7.Poseidon.controller.UserController                 |  --->   user/list - OK - (UserController.java:41)
2021-07-27 11:57:46,611 - [main] INFO       | com.ly.p7.Poseidon.controller.UserController                 | --> Launch /user/add (UserController.java:47)
2021-07-27 11:57:46,652 - [main] INFO       | com.ly.p7.Poseidon.controller.UserController                 | --> Launch /user/update/{id} with id = 1 (UserController.java:65)
2021-07-27 11:57:46,744 - [main] INFO       | com.ly.p7.Poseidon.controller.UserController                 | --> Launch /user/validate (UserController.java:53)
2021-07-27 11:57:46,756 - [main] INFO       | com.ly.p7.Poseidon.controller.UserController                 | --> Launch /user/update/{id} + id: 1 (UserController.java:74)
2021-07-27 11:57:46,756 - [main] INFO       | com.ly.p7.Poseidon.controller.UserController                 | --> Launch /user/update/{id} + userDTO.getId: 1 (UserController.java:75)
2021-07-27 11:58:53,255 - [background-preinit] INFO       | org.hibernate.validator.internal.util.Version                | HV000001: Hibernate Validator 6.1.6.Final (Version.java:21)
2021-07-27 11:58:55,338 - [main] INFO       | com.ly.p7.Poseidon.controller.UserController                 | --> Launch /user/list (UserController.java:39)
2021-07-27 11:58:55,340 - [main] INFO       | com.ly.p7.Poseidon.controller.UserController                 |  --->   user/list - OK - (UserController.java:41)
2021-07-27 11:58:55,647 - [main] INFO       | com.ly.p7.Poseidon.controller.UserController                 | --> Launch /user/add (UserController.java:47)
2021-07-27 11:58:55,695 - [main] INFO       | com.ly.p7.Poseidon.controller.UserController                 | --> Launch /user/update/{id} with id = 1 (UserController.java:65)
2021-07-27 11:58:55,772 - [main] INFO       | com.ly.p7.Poseidon.controller.UserController                 | --> Launch /user/validate (UserController.java:53)
2021-07-27 11:58:55,783 - [main] INFO       | com.ly.p7.Poseidon.controller.UserController                 | --> Launch /user/update/{id} + id: 1 (UserController.java:74)
2021-07-27 11:58:55,784 - [main] INFO       | com.ly.p7.Poseidon.controller.UserController                 | --> Launch /user/update/{id} + userDTO.getId: 1 (UserController.java:75)
2021-07-27 12:07:14,471 - [background-preinit] INFO       | org.hibernate.validator.internal.util.Version                | HV000001: Hibernate Validator 6.1.6.Final (Version.java:21)
2021-07-27 12:07:16,607 - [main] INFO       | com.ly.p7.Poseidon.controller.UserController                 | --> Launch /user/list (UserController.java:39)
2021-07-27 12:07:16,610 - [main] INFO       | com.ly.p7.Poseidon.controller.UserController                 |  --->   user/list - OK - (UserController.java:41)
2021-07-27 12:07:16,943 - [main] INFO       | com.ly.p7.Poseidon.controller.UserController                 | --> Launch /user/add (UserController.java:47)
2021-07-27 12:07:16,987 - [main] INFO       | com.ly.p7.Poseidon.controller.UserController                 | --> Launch /user/update/{id} with id = 1 (UserController.java:65)
2021-07-27 12:07:17,071 - [main] INFO       | com.ly.p7.Poseidon.controller.UserController                 | --> Launch /user/validate (UserController.java:53)
2021-07-27 12:07:17,082 - [main] INFO       | com.ly.p7.Poseidon.controller.UserController                 | --> Launch /user/update/{id} + id: 1 (UserController.java:74)
2021-07-27 12:07:17,083 - [main] INFO       | com.ly.p7.Poseidon.controller.UserController                 | --> Launch /user/update/{id} + userDTO.getId: 1 (UserController.java:75)
2021-07-27 12:08:03,041 - [background-preinit] INFO       | org.hibernate.validator.internal.util.Version                | HV000001: Hibernate Validator 6.1.6.Final (Version.java:21)
2021-07-27 12:08:05,216 - [main] INFO       | com.ly.p7.Poseidon.controller.UserController                 | --> Launch /user/validate (UserController.java:53)
2021-07-27 12:09:35,460 - [background-preinit] INFO       | org.hibernate.validator.internal.util.Version                | HV000001: Hibernate Validator 6.1.6.Final (Version.java:21)
2021-07-27 12:09:37,553 - [main] INFO       | com.ly.p7.Poseidon.controller.UserController                 | --> Launch /user/validate (UserController.java:53)
2021-07-27 12:13:36,275 - [background-preinit] INFO       | org.hibernate.validator.internal.util.Version                | HV000001: Hibernate Validator 6.1.6.Final (Version.java:21)
2021-07-27 12:13:38,416 - [main] INFO       | com.ly.p7.Poseidon.controller.UserController                 | --> Launch /user/validate (UserController.java:53)
2021-07-27 12:20:23,704 - [background-preinit] INFO       | org.hibernate.validator.internal.util.Version                | HV000001: Hibernate Validator 6.1.6.Final (Version.java:21)
2021-07-27 12:20:25,837 - [main] INFO       | com.ly.p7.Poseidon.controller.UserController                 | --> Launch /user/validate (UserController.java:53)
2021-07-27 12:20:25,840 - [main] INFO       | com.ly.p7.Poseidon.controller.UserController                 |  --->   user/validate - OK - (UserController.java:57)
2021-07-27 12:21:44,293 - [background-preinit] INFO       | org.hibernate.validator.internal.util.Version                | HV000001: Hibernate Validator 6.1.6.Final (Version.java:21)
2021-07-27 12:21:46,437 - [main] INFO       | com.ly.p7.Poseidon.controller.UserController                 | --> Launch /user/validate (UserController.java:53)
2021-07-27 12:21:46,440 - [main] INFO       | com.ly.p7.Poseidon.controller.UserController                 |  --->   user/validate - OK - (UserController.java:57)
2021-07-27 12:23:10,029 - [background-preinit] INFO       | org.hibernate.validator.internal.util.Version                | HV000001: Hibernate Validator 6.1.6.Final (Version.java:21)
2021-07-27 12:23:12,086 - [main] INFO       | com.ly.p7.Poseidon.controller.UserController                 | --> Launch /user/validate (UserController.java:53)
2021-07-27 12:23:12,095 - [main] INFO       | com.ly.p7.Poseidon.controller.UserController                 |  --->   user/validate - OK - (UserController.java:57)
2021-07-27 12:24:00,050 - [background-preinit] INFO       | org.hibernate.validator.internal.util.Version                | HV000001: Hibernate Validator 6.1.6.Final (Version.java:21)
2021-07-27 12:24:02,141 - [main] INFO       | com.ly.p7.Poseidon.controller.UserController                 | --> Launch /user/validate (UserController.java:53)
2021-07-27 12:24:02,144 - [main] INFO       | com.ly.p7.Poseidon.controller.UserController                 |  --->   user/validate - OK - (UserController.java:57)
2021-07-27 12:24:17,212 - [background-preinit] INFO       | org.hibernate.validator.internal.util.Version                | HV000001: Hibernate Validator 6.1.6.Final (Version.java:21)
2021-07-27 12:24:18,113 - [main] INFO       | org.hibernate.jpa.internal.util.LogHelper                    | HHH000204: Processing PersistenceUnitInfo [name: default] (LogHelper.java:31)
2021-07-27 12:24:18,184 - [main] INFO       | org.hibernate.Version                                        | HHH000412: Hibernate ORM core version 5.4.32.Final (Version.java:44)
2021-07-27 12:24:18,315 - [main] INFO       | org.hibernate.annotations.common.Version                     | HCANN000001: Hibernate Commons Annotations {5.1.2.Final} (JavaReflectionManager.java:56)
2021-07-27 12:24:18,807 - [main] INFO       | org.hibernate.dialect.Dialect                                | HHH000400: Using dialect: org.hibernate.dialect.MySQL5Dialect (Dialect.java:175)
